Question,A,B,C,D,Answer
समुचितमर्थं चिनुत - आद्रियते,Is understood, Is respected, Is criticized, Is ignored, B
समुचितमर्थं चिनुत - निबद्धानि,Needed,Practiced,Composed,Dismissed, C
समुचितमर्थं चिनुत - किं बहुना?,What more can be said?, What is the reason?, What is the next step?, What is the meaning?, A
समुचितमर्थं चिनुत - पाश्चात्त्यदेशाः,Eastern countries, Western countries, Northern regions, Southern countries, B
समुचितमर्थं चिनुत - प्राच्यविज्ञानम्,Modern Science, Oriental Science, Western Science, Social Science, B
समुचितमर्थं चिनुत - समासादयितुं,To attain, To prevent, To discuss, To understand, A
समुचितमर्थं चिनुत - दृढतरः,Weaker, Stronger, Equal, Lesser, B
समुचितमर्थं चिनुत - अधीयमाना,Being recited, Being forgotten, Being ignored, Being studied,D
समुचितमर्थं चिनुत - विशयः,Subject, Obstacle, Opportunity,Doubt,D
समुचितमर्थं चिनुत - लेशतोऽपि,Even to the slightest extent, Even to the greatest extent, Completely, Not at all, A
